Date,Open,High,Low,Close,Volume
2025-11-26,15175.2,15317,15133.1,15229.8,114977259520
2025-11-25,15210.2,15382.7,14734.7,15174.4,104184922112
2025-11-24,14682.7,15432.9,14464.1,15210.2,119663853568
2025-11-23,14368.3,14965.8,14314.9,14683.2,107165851648
2025-11-22,14382.1,14586.2,14013,14368.3,78297350144
2025-11-21,14784.3,15027,13632.8,14381.5,170948984832
2025-11-20,15536.1,15859,14651.6,14790.9,199967506432
2025-11-19,16007.7,16052.4,14952.2,15536.4,144987406336
2025-11-18,15609.6,16213.7,15265,16008,139068489728
2025-11-17,15992.8,16435.2,15364.7,15609.6,199752712192
2025-11-16,16296.2,16579.6,15675.4,15992.7,137399967744
2025-11-15,16031.8,16608.7,15990.5,16295.8,82844057600
2025-11-14,16749.2,16844.1,15838.5,16031,162820161536
2025-11-13,17189.5,17787.1,16365.4,16749.6,197720965120
2025-11-12,17359.7,17961,16967.1,17189,142665613312
2025-11-11,18167.4,18508,17289.3,17358.8,113609924608
2025-11-10,17792.3,18531.9,17593.2,18167.3,138515136512
2025-11-09,17312.9,17995.4,16998.5,17791.5,129457651712
2025-11-08,17502.5,17739.3,17035.3,17313,88647262208
2025-11-07,16622.1,17744,16302.4,17502.6,160737099776
2025-11-06,17174.1,17253.3,16354.6,16622.8,132117512192
2025-11-05,16636,17363.4,16044.3,17174,122197401600
2025-11-04,17414.4,17676,15819.5,16636.8,234357014528
2025-11-03,18881.1,18904,17141.6,17414.8,174934949888
2025-11-02,18851.3,19032.9,18541.3,18880.6,98255626240
2025-11-01,18738.7,18993,18609,18851.4,59899428864
2025-10-31,18711.9,19229.4,18593.1,18933.7,102716481536
2025-10-30,19413.9,19696.2,18238.6,18711.4,135718150144
2025-10-29,19600.7,19969.4,19142.8,19392.2,146184634368
2025-10-28,19955.4,20394.8,19370.3,19603.5,136099536896
2025-10-27,20118.6,20536.2,19826.1,19954.8,113044856832
2025-10-26,19451.9,20238.8,19321.2,20118.2,121496453120
2025-10-25,19279.4,19589,19137.4,19452,51515539456
2025-10-24,19049.7,19524.6,18891.4,19279.5,91928436736
2025-10-23,18558.7,19356.3,18511.5,19049.7,112861642752
2025-10-22,18814.1,18984.3,18261.2,18559.2,145392304128
2025-10-21,19321.3,19843,18640.8,18813,183406542848
2025-10-20,19108.6,19757.3,18789.1,19320.2,123014029312
2025-10-19,18760.1,19370.1,18486,19108.4,128303407104
2025-10-18,18459.1,18940.9,18407.3,18759.7,66117263360
2025-10-17,18927.5,19170.8,17732.4,18457.8,167289880576
2025-10-16,19504.5,19893.9,18706.2,18928.2,197051613184
2025-10-15,20139.2,20436.2,19328.6,19504.7,148528939008
2025-10-14,20814,20936.6,19266.4,20139.5,191318261760
2025-10-13,20432.4,21128.1,20031.6,20814.4,189050912768
2025-10-12,18887.8,20683.7,18541.5,20432.8,210730074112
2025-10-11,19153.8,19835.2,18402,18887.4,169306488832
2025-10-10,22290.3,22597.9,15349.9,19154.5,411486158848
2025-10-09,22863.4,22984.9,21837.9,22290.5,155442249728
2025-10-08,22417.6,23085.7,22203.8,22864.7,132988542976
2025-10-07,23234.2,23545.8,22184.4,22417.7,182026616832
2025-10-06,22686.4,23538.7,22568.4,23234.3,152148590592
2025-10-05,22596.6,23318.6,22432.1,22686.7,122510876672
2025-10-04,22856.5,22989.2,22313.2,22597,119717953536
2025-10-03,22686.6,23233.3,22280.9,22856.3,158838964224
2025-10-02,22010.2,22868.2,21888.2,22688.5,151509041152
2025-10-01,21072.1,22076.1,20933.4,22009,164529324032
2025-09-30,21537.1,21632.6,20937.3,21304.7,118630236160
