date,symbol,name,open,high,low,close,volume,trades,market_cap
2021-12-30,ADA,Cardano,1.308,1.38,1.193,1.23,409367769.4,933391,44157000000.0
2021-12-30,ATOM,Cosmos,32.41,43.95,32.34,38.66,30776814.69,4307427,15077399999.999998
2021-12-30,BORG,BORG,0.6071461038112524,0.6071461038112524,0.6071461038112524,0.6071461038112524,1809868.6819505896,0,577282468.678885
2021-12-30,BTC,Bitcoin,46216.93,47954.63,42500.0,43451.13,134528.55342,4100514,866936945760.0
2021-12-30,CRV,Curve,5.316,6.8,4.991,5.403,146369012.932,1910623,10265700000.0
2021-12-30,CSPR,Casper,0.1148,0.1379,0.1138,0.1184,169611962.40586013,75665,1539200000.0
2021-12-30,DOT,Polkadot,26.67,30.88,25.05,26.72,42396586.18,1918766,38209600000.0
2021-12-30,DYDX,dYdX,8.101,9.174,7.333,7.808,14790213.04,363683,2108160000.0
2021-12-30,ETH,Ethereum,3676.22,3900.73,3415.0,3540.63,1076511.6463,2642227,427354041000.0
2021-12-30,GEL,Gelato,2.083,2.6,1.8903,1.9872,127469.68510053,2705,834624000.0
2021-12-30,HBAR,Hedera,0.2901,0.3412,0.2697,0.2876,311554421.0,443714,10928800000.0
2021-12-30,ICP,Internet Computer,24.42,38.02,24.4,30.64,24445155.33,1978226,16852000000.0
2021-12-30,LCX,LCX,0.182744598736334,0.182744598736334,0.182744598736334,0.182744598736334,2440222.4182485514,0,103279423.95479336
2021-12-30,LSK,Lisk,2.326,2.585,2.131,2.17,2701199.5,30738,303800000.0
2021-12-30,MINA,Mina,3.532,4.248,3.418,3.886,30962893.200000003,291145,4663200000.0
2021-12-30,NEAR,NEAR Protocol,14.619,17.664,13.906,15.309,58809644.2,1378596,18370800000.0
2021-12-30,POWR,Powerledger,0.4163,0.847,0.4157,0.5579,229932948.0,463425,278950000.0
2021-12-30,SNT,SNT,0.0701572164306733,0.0701572164306733,0.0701572164306733,0.0701572164306733,6490357.718462149,0,271672923.1958925
2021-12-30,SOL,Solana,170.01,179.2,144.92,154.52,4366640.41,1154613,86531200000.0
2021-12-30,XTZ,Tezos,4.341,5.365,4.276,4.509,50935112.30000001,772425,4509000000.0
2022-01-06,ADA,Cardano,1.23,1.314,1.069,1.312,1119314798.9199998,2306526,47100800000.0
2022-01-06,ATOM,Cosmos,38.65,44.7,32.9,40.22,61080455.3,5837313,15685800000.0
2022-01-06,BORG,BORG,0.582810042951758,0.582810042951758,0.582810042951758,0.582810042951758,2267183.584041912,0,555500394.6089412
2022-01-06,BTC,Bitcoin,43451.14,44322.0,39650.0,43902.66,271359.16605,7622218,875945872320.0001
2022-01-06,CRV,Curve,5.401,5.539,4.01,4.904,210416203.1,1729207,9317600000.0
2022-01-06,CSPR,Casper,0.1189,0.127,0.1102,0.1205,207369651.62435448,76318,1566500000.0
2022-01-06,DOT,Polkadot,26.73,27.58,22.43,27.32,71943438.62,2677537,39067600000.0
2022-01-06,DYDX,dYdX,7.804,7.895,5.937,7.76,32193936.03,697262,2095200000.0
2022-01-06,ETH,Ethereum,3539.82,3550.43,2928.83,3371.26,3105548.5694,6061174,406911082000.0
2022-01-06,GEL,Gelato,1.9781,2.0023,1.3715,1.6302,229957.55397805,4048,684684000.0
2022-01-06,HBAR,Hedera,0.2871,0.3003,0.2491,0.2965,500560241.0,535626,11267000000.0
2022-01-06,ICP,Internet Computer,30.63,37.79,27.01,34.99,44098723.87,3065740,19244500000.0
2022-01-06,LCX,LCX,0.171493046082157,0.171493046082157,0.171493046082157,0.171493046082157,4010268.769891144,0,96717134.35490988
2022-01-06,LSK,Lisk,2.17,2.337,1.917,2.145,3690305.61,44284,300300000.0
2022-01-06,MINA,Mina,3.884,4.09,2.993,3.595,39241581.1,322058,4314000000.0
2022-01-06,NEAR,NEAR Protocol,15.305,18.838,13.103,17.573,113946241.2,2711407,21087600000.0
2022-01-06,POWR,Powerledger,0.5579,0.738,0.472,0.6237,311702091.0,794768,311850000.0
2022-01-06,SNT,SNT,0.0671406371322928,0.0671406371322928,0.0671406371322928,0.0671406371322928,12075521.98861733,0,261877859.31064063
2022-01-06,SOL,Solana,154.48,154.8,130.0,151.51,13583636.31,3100691,84845600000.0
2022-01-06,XTZ,Tezos,4.507,4.545,3.782,4.383,42095529.1,576265,4383000000.0
2022-01-13,ADA,Cardano,1.312,1.638,1.22,1.337,1982172050.4,5026581,47998300000.0
2022-01-13,ATOM,Cosmos,40.21,44.56,35.24,37.02,31866145.970000003,3114609,14437800000.000002
2022-01-13,BORG,BORG,0.5915998489273901,0.5915998489273901,0.5915998489273901,0.5915998489273901,1738196.825075602,0,562564437.6786572
2022-01-13,BTC,Bitcoin,43902.65,44500.0,41138.56,41660.01,198654.65456,6215091,831200519520.0
2022-01-13,CRV,Curve,4.902,5.48,4.18,4.188,152090001.89999998,1390631,7957199999.999999
2022-01-13,CSPR,Casper,0.1205,0.1215,0.0987,0.1021,159824739.40670523,53710,1327300000.0
2022-01-13,DOT,Polkadot,27.33,28.47,23.68,24.05,51592260.92,2194331,34391500000.0
2022-01-13,DYDX,dYdX,7.752,8.266,6.59,6.948,27113513.24,590834,1875960000.0
2022-01-13,ETH,Ethereum,3371.6,3410.0,3000.0,3084.02,1951556.8671,4051419,372241214000.0
2022-01-13,GEL,Gelato,1.6318,2.5,1.3688,1.541,431048.1020652,12679,647220000.0
2022-01-13,HBAR,Hedera,0.2964,0.2969,0.2485,0.2672,267793536.0,299643,10153600000.0
2022-01-13,ICP,Internet Computer,35.01,35.1,26.15,26.52,18172002.69,1213178,14586000000.0
2022-01-13,LCX,LCX,0.1551607036005357,0.1551607036005357,0.1551607036005357,0.1551607036005357,4988401.882202866,0,86401549.67130227
2022-01-13,LSK,Lisk,2.145,2.16,1.895,1.94,1318053.7,18668,271600000.0
2022-01-13,MINA,Mina,3.597,3.688,3.244,3.385,30848319.7,254601,4061999999.999999
2022-01-13,NEAR,NEAR Protocol,17.574,20.597,16.165,16.21,90585384.52,2505650,19452000000.0
2022-01-13,POWR,Powerledger,0.6239,0.72,0.5412,0.5708,81808159.0,244288,285400000.0
2022-01-13,SNT,SNT,0.0624327335808118,0.0624327335808118,0.0624327335808118,0.0624327335808118,4969221.115926222,0,242246979.34075975
2022-01-13,SOL,Solana,151.5,157.8,132.77,135.25,8964129.45,2065617,75740000000.0
2022-01-13,XTZ,Tezos,4.39,4.424,3.807,3.878,22860898.7,333484,3878000000.0
2022-01-20,ADA,Cardano,1.336,1.427,0.917,1.077,2473560238.02,4727930,38664300000.0
2022-01-20,ATOM,Cosmos,37.02,42.1,27.31,32.36,74452941.68,5334761,12620400000.0
2022-01-20,BORG,BORG,0.5688167439052462,0.5688167439052462,0.5688167439052462,0.5688167439052462,1036581.3209425056,0,542694246.2561581
2022-01-20,BTC,Bitcoin,41660.0,43505.0,32917.17,36809.34,476892.825751,11265174,734419951679.9999
2022-01-20,CRV,Curve,4.188,4.559,2.364,2.87,237970421.6,1491160,5453000000.0
2022-01-20,CSPR,Casper,0.1023,0.1081,0.0704,0.0893,257311376.38383836,70034,1160900000.0
2022-01-20,DOT,Polkadot,24.06,25.62,15.83,18.08,103353924.383,3107415,25854400000.0
2022-01-20,DYDX,dYdX,6.95,8.9,5.08,5.817,94777334.64,1703077,1570590000.0
2022-01-20,ETH,Ethereum,3084.02,3273.37,2159.0,2462.99,5481000.92425,9670039,297282893000.0
2022-01-20,GEL,Gelato,1.5426,1.7319,0.6605,1.1101,1275379.2471830398,19958,466242000.00000006
2022-01-20,HBAR,Hedera,0.2672,0.282,0.186,0.2119,574099101.0,506072,8052200000.0
2022-01-20,ICP,Internet Computer,26.52,28.6,18.06,19.81,32032490.37,1594118,10895500000.0
2022-01-20,LCX,LCX,0.1140544818319179,0.1140544818319179,0.1140544818319179,0.1140544818319179,3364348.14641252,0,63786805.63417722
2022-01-20,LSK,Lisk,1.938,2.042,1.419,1.579,4196442.21,46157,221060000.0
2022-01-20,MINA,Mina,3.388,3.65,2.05,2.309,56597983.1,316738,2770800000.0
2022-01-20,NEAR,NEAR Protocol,16.208,17.579,9.509,11.302,151801808.7,2999779,13562400000.0
2022-01-20,POWR,Powerledger,0.5715,0.6105,0.4579,0.5292,67843882.0,161614,264600000.0
2022-01-20,SNT,SNT,0.0590728314183691,0.0590728314183691,0.0590728314183691,0.0590728314183691,5042087.550973456,0,230152740.3005139
2022-01-20,SOL,Solana,135.23,143.83,80.83,92.12,30978415.23,5173226,51587200000.0
2022-01-20,XTZ,Tezos,3.876,4.085,2.539,2.948,42287570.58,521247,2948000000.0
2022-01-27,ADA,Cardano,1.078,1.103,1.004,1.027,836927372.8000002,1644035,36869300000.0
2022-01-27,ATOM,Cosmos,32.37,32.94,25.5,26.31,30939753.62,1827996,10260900000.0
2022-01-27,BORG,BORG,0.579956855284957,0.579956855284957,0.579956855284957,0.579956855284957,2606432.426992659,0,558895233.6112534
2022-01-27,BTC,Bitcoin,36807.24,39265.2,35507.01,36896.36,249898.57707,6644832,736156174720.0
2022-01-27,CRV,Curve,2.87,3.507,2.649,3.107,151361291.60000002,1017668,5903300000.0
2022-01-27,CSPR,Casper,0.0893,0.0911,0.08,0.0841,131561277.48400138,37678,1093300000.0
2022-01-27,DOT,Polkadot,18.08,20.58,17.12,18.76,51756724.28,1693722,26826800000.000004
2022-01-27,DYDX,dYdX,5.821,6.45,5.459,5.85,26103534.96,470093,1579500000.0
2022-01-27,ETH,Ethereum,2463.0,2813.0,2316.43,2680.67,3034438.20512,5558881,323556869000.0
2022-01-27,GEL,Gelato,1.1182,1.4374,0.997,1.1089,469792.7044009901,12217,465738000.0
2022-01-27,HBAR,Hedera,0.2117,0.2342,0.1996,0.2202,248340653.0,219387,8367600000.0
2022-01-27,ICP,Internet Computer,19.81,22.33,18.49,21.59,22351011.42,929177,11874500000.0
2022-01-27,LCX,LCX,0.0998376222857583,0.0998376222857583,0.0998376222857583,0.0998376222857583,1862989.82950267,0,56459230.42848191
2022-01-27,LSK,Lisk,1.577,1.68,1.492,1.6,1621775.8000000005,17954,224000000.0
2022-01-27,MINA,Mina,2.308,2.79,2.162,2.451,30329575.1,170936,2941200000.0
2022-01-27,NEAR,NEAR Protocol,11.298,11.95,9.936,10.863,68403424.4,1344301,13035600000.0
2022-01-27,POWR,Powerledger,0.5289,0.5728,0.502,0.5372,28959110.0,55628,268600000.0
2022-01-27,SNT,SNT,0.048521759828507,0.048521759828507,0.048521759828507,0.048521759828507,38038477.08734299,0,188225944.7693785
2022-01-27,SOL,Solana,92.11,113.66,85.71,101.88,20948657.770000003,3342345,57052800000.0
2022-01-27,XTZ,Tezos,2.945,3.9,2.736,3.751,40034086.2,461140,3751000000.0
2022-02-03,ADA,Cardano,1.027,1.263,1.016,1.195,1437837737.0,2810937,42900500000.0
2022-02-03,ATOM,Cosmos,26.33,33.19,25.58,30.93,28761388.99,1794286,12062700000.0
2022-02-03,BORG,BORG,0.6074799921972251,0.6074799921972251,0.6074799921972251,0.6074799921972251,1285808.3518473518,0,573915945.2677885
2022-02-03,BTC,Bitcoin,36896.37,45492.0,36250.0,44372.72,352854.84644000005,9682404,885324509440.0
2022-02-03,CRV,Curve,3.106,3.723,2.984,3.496,112816759.9,857553,6642400000.0
2022-02-03,CSPR,Casper,0.084,0.0981,0.0827,0.0901,96892161.61234258,31212,1171300000.0
2022-02-03,DOT,Polkadot,18.77,23.19,17.97,21.94,65193077.84,2337583,31374200000.0
2022-02-03,DYDX,dYdX,5.855,8.553,5.629,8.237,49760728.33,921762,2223990000.0
2022-02-03,ETH,Ethereum,2680.25,3269.7,2576.05,3243.94,3470031.308600001,6659745,391543558000.0
2022-02-03,GEL,Gelato,1.1109,1.4471,1.0447,1.283,317959.67549187,9652,538860000.0
2022-02-03,HBAR,Hedera,0.2202,0.2695,0.2138,0.2567,518395671.0,533591,9754600000.0
2022-02-03,ICP,Internet Computer,21.59,24.68,20.02,23.07,18759876.680000003,877776,12688500000.0
2022-02-03,LCX,LCX,0.1106338899230162,0.1106338899230162,0.1106338899230162,0.1106338899230162,1038866.2157095148,0,61877803.61151915
2022-02-03,LSK,Lisk,1.6,2.027,1.586,1.989,2791132.8,37263,278460000.0
2022-02-03,MINA,Mina,2.45,3.192,2.362,2.943,36176451.5,273120,3531600000.0
2022-02-03,NEAR,NEAR Protocol,10.862,14.083,10.438,12.995,90533030.3,1905844,15594000000.0
2022-02-03,POWR,Powerledger,0.5371,0.6288,0.5279,0.6031,53176286.0,108178,301550000.0
2022-02-03,SNT,SNT,0.0504473483353104,0.0504473483353104,0.0504473483353104,0.0504473483353104,16522920.141128842,0,195636427.11817956
2022-02-03,SOL,Solana,101.91,121.93,94.0,113.93,22640627.39,4052342,63800800000.00001
2022-02-03,XTZ,Tezos,3.754,4.606,3.607,4.441,60127339.50000001,793389,4441000000.0
2022-02-10,ADA,Cardano,1.194,1.225,1.018,1.082,957638713.4,1553625,38843800000.0
2022-02-10,ATOM,Cosmos,30.91,31.3,25.36,28.5,18609351.25,1131058,11115000000.0
2022-02-10,BORG,BORG,0.6330880604875341,0.6330880604875341,0.6330880604875341,0.6330880604875341,919576.9584994484,0,602810491.9424808
2022-02-10,BTC,Bitcoin,44372.71,45821.0,41550.56,43873.56,252154.74790000005,6846017,875365269120.0
2022-02-10,CRV,Curve,3.496,3.502,2.652,3.168,88907461.4,623032,6019200000.0
2022-02-10,CSPR,Casper,0.0902,0.0935,0.0797,0.0893,117999244.52494372,35469,1160900000.0
2022-02-10,DOT,Polkadot,21.95,22.48,18.02,19.76,45758586.900000006,1366068,28256800000.000004
2022-02-10,DYDX,dYdX,8.233,8.55,6.618,7.416,36194508.76,737121,2002320000.0
2022-02-10,ETH,Ethereum,3243.6,3283.66,2829.01,3122.3,2769703.381,5041426,376861610000.0
