Date,Coin,Weight in Index
2025-11-01,bitcoin,27.0606%
2025-11-01,ethereum,12.4859%
2025-11-01,bnb,7.0931%
2025-11-01,xrp,7.08263%
2025-11-01,solana,5.85668%
2025-11-01,dogecoin,3.07527%
2025-11-01,tron,3.06675%
2025-11-01,cardano,2.70324%
2025-11-01,hyperliquid,2.20592%
2025-11-01,chainlink,1.99433%
2025-11-01,bitcoin-cash,1.92235%
2025-11-01,stellar,1.80596%
2025-11-01,unus-sed-leo,1.71543%
2025-11-01,sui,1.70771%
2025-11-01,hedera,1.66778%
2025-11-01,avalanche,1.62746%
2025-11-01,litecoin,1.60224%
2025-11-01,monero,1.46268%
2025-11-01,shiba-inu,1.41557%
2025-11-01,toncoin,1.39356%
2025-11-01,cronos,1.33154%
2025-11-01,polkadot-new,1.2681%
2025-11-01,mantle,1.25029%
2025-11-01,uniswap,1.11058%
2025-11-01,world-liberty-financial-wlfi,1.06723%
2025-11-01,aave,1.06543%
2025-11-01,bitget-token-new,1.02844%
2025-11-01,okb,1.00557%
2025-11-01,pepe,0.967674%
2025-11-01,ethena,0.959988%
2025-10-01,bitcoin,25.9678%
2025-10-01,ethereum,12.2905%
2025-10-01,xrp,7.16444%
2025-10-01,bnb,6.43409%
2025-10-01,solana,5.89109%
2025-10-01,dogecoin,3.29218%
2025-10-01,tron,3.09033%
2025-10-01,cardano,2.95736%
2025-10-01,hyperliquid,2.16584%
2025-10-01,chainlink,2.10107%
2025-10-01,avalanche,1.96017%
2025-10-01,sui,1.89005%
2025-10-01,stellar,1.86968%
2025-10-01,bitcoin-cash,1.83432%
2025-10-01,hedera,1.66063%
2025-10-01,unus-sed-leo,1.61974%
2025-10-01,litecoin,1.57204%
2025-10-01,shiba-inu,1.46163%
2025-10-01,toncoin,1.45276%
2025-10-01,cronos,1.44068%
2025-10-01,polkadot-new,1.39467%
2025-10-01,mantle,1.30454%
2025-10-01,monero,1.27492%
2025-10-01,world-liberty-financial-wlfi,1.22999%
2025-10-01,uniswap,1.22538%
2025-10-01,aave,1.12023%
2025-10-01,ethena,1.10233%
2025-10-01,pepe,1.09941%
2025-10-01,okb,1.09041%
2025-10-01,bitget-token-new,1.04168%
2025-09-01,bitcoin,26.2616%
2025-09-01,ethereum,12.8626%
2025-09-01,xrp,7.2162%
2025-09-01,bnb,6.1247%
2025-09-01,solana,5.81618%
2025-09-01,tron,3.18765%
2025-09-01,dogecoin,3.16649%
2025-09-01,cardano,3.00866%
2025-09-01,chainlink,2.20055%
2025-09-01,hyperliquid,2.1338%
2025-09-01,sui,1.89761%
2025-09-01,stellar,1.87836%
2025-09-01,bitcoin-cash,1.85367%
2025-09-01,avalanche,1.75874%
2025-09-01,hedera,1.71984%
2025-09-01,unus-sed-leo,1.67559%
2025-09-01,litecoin,1.61924%
2025-09-01,toncoin,1.59298%
2025-09-01,shiba-inu,1.50206%
2025-09-01,polkadot-new,1.37363%
2025-09-01,uniswap,1.36168%
2025-09-01,bitget-token-new,1.29829%
2025-09-01,aave,1.23778%
2025-09-01,monero,1.23709%
2025-09-01,pepe,1.1185%
2025-09-01,okb,1.05684%
2025-09-01,bittensor,0.991904%
2025-09-01,near-protocol,0.960485%
2025-09-01,aptos,0.95714%
2025-09-01,pi,0.9302%
2025-08-01,bitcoin,27.2444%
2025-08-01,ethereum,11.9911%
2025-08-01,xrp,7.60396%
2025-08-01,bnb,5.93107%
2025-08-01,solana,5.46839%
2025-08-01,dogecoin,3.18854%
2025-08-01,tron,3.14907%
2025-08-01,cardano,2.90619%
2025-08-01,hyperliquid,2.09572%
2025-08-01,sui,2.00756%
2025-08-01,stellar,1.95697%
2025-08-01,chainlink,1.92485%
2025-08-01,bitcoin-cash,1.89914%
2025-08-01,hedera,1.81585%
2025-08-01,avalanche,1.7498%
2025-08-01,toncoin,1.66005%
2025-08-01,unus-sed-leo,1.63062%
2025-08-01,litecoin,1.61441%
2025-08-01,shiba-inu,1.5376%
2025-08-01,polkadot-new,1.38028%
2025-08-01,uniswap,1.37665%
2025-08-01,monero,1.34938%
2025-08-01,bitget-token-new,1.26988%
2025-08-01,pepe,1.20915%
2025-08-01,aave,1.1179%
